类目id:11  类目名称:电脑硬件/显示器/电脑周边 
类目id:124820004  类目名称:电子元器件市场>IC集成电路/电机>照相机集成电路 
类目id:124820005  类目名称:电子元器件市场>IC集成电路/电机>遥控集成电路 
类目id:124822002  类目名称:电子元器件市场>连接器件>细线同轴连接器 
类目id:124822003  类目名称:电子元器件市场>连接器件>内存卡用连接器 
类目id:124822004  类目名称:电子元器件市场>变压器>电容式变压器 
类目id:124822005  类目名称:电子元器件市场>电容器>高频电容器 
类目id:124822006  类目名称:美容护肤/美体/精油>身体护理（新）>纤体 
类目id:124828004  类目名称:电子元器件市场>变压器>调整变压器 
类目id:124828005  类目名称:电子元器件市场>电容器>其他类型电容器 
类目id:124830001  类目名称:度假线路/签证送关/旅游服务>目的地达人/蜻蜓客 
类目id:124830002  类目名称:本地化生活服务>特色上门服务>上门手机维修（即买即约） 
类目id:124830005  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>花艺包装 
类目id:124830006  类目名称:乐器/吉他/钢琴/配件>西洋乐器>西洋弦乐器>班卓琴 
类目id:124830007  类目名称:网游装备/游戏币/帐号/代练>游戏币>上古世纪游戏币 
类目id:124830010  类目名称:电影/演出/体育赛事>演出话剧>录制现场门票 
类目id:124830011  类目名称:网络游戏点卡>手游充值>Z-甄传 
类目id:124832002  类目名称:本地化生活服务>汽车服务>上门服务（先买后约）>上门更换配件相关保养 
类目id:124832008  类目名称:度假线路/签证送关/旅游服务>目的地玩乐>美食卡券/酒店餐饮卡券 
类目id:124834008  类目名称:网络游戏点卡>手游充值>R-忍者萌剑传 
类目id:124834011  类目名称:教育培训>智能教育>智能教育培训 
类目id:124834012  类目名称:本地化生活服务>特色服务>服饰搭配 
类目id:124836001  类目名称:本地化生活服务>汽车服务>上门服务（先买后约）>上门清洗相关保养 
类目id:124836006  类目名称:本地化生活服务>美甲/美容服务>美容 
类目id:124842004  类目名称:家居饰品>家饰软装搭配套装 
类目id:124844002  类目名称:拍卖会专用 
类目id:124844003  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>花艺包装>花艺包装盒 
类目id:124848001  类目名称:网络游戏点卡>Y-英魂之刃 
类目id:124848002  类目名称:传统滋补营养品>参茸贵细>海马 
类目id:124848007  类目名称:网络游戏点卡>手游充值>游侍点卡 
类目id:124850001  类目名称:度假线路/签证送关/旅游服务>目的地达人/蜻蜓客>境内达人/蜻蜓客 
类目id:124850002  类目名称:餐饮美食>甜品/冰淇淋/咖啡/冷饮>甜品冷饮券 
类目id:124850005  类目名称:装修服务>半包套餐 
类目id:124850009  类目名称:电影/演出/体育赛事>演出话剧>明星见面会 
类目id:124852001  类目名称:度假线路/签证送关/旅游服务>目的地达人/蜻蜓客>境外达人/蜻蜓客 
类目id:124852002  类目名称:乐器/吉他/钢琴/配件>西洋乐器>西洋吹奏乐器>巴松/大管 
类目id:124852003  类目名称:二手数码 
类目id:124852006  类目名称:二手数码>二手手机 
类目id:124858007  类目名称:网络游戏点卡>手游充值>F-焚天之怒 
类目id:124860003  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>花艺包装>花艺包装纸 
类目id:124860007  类目名称:网络游戏点卡>手游充值>B-部落战歌 
类目id:124860008  类目名称:本地化生活服务>美甲/美容服务>化妆 
类目id:124862006  类目名称:网络游戏点卡>Y-有信会员 
类目id:124864003  类目名称:装修服务>全包套餐 
类目id:124864007  类目名称:本地化生活服务>美甲/美容服务>美睫 
类目id:124864008  类目名称:网络游戏点卡>J-骏网充值卡 
类目id:124866006  类目名称:景点门票/实景演出/主题乐园>境内景点电子门票 
类目id:124868007  类目名称:本地化生活服务>美甲/美容服务>美甲/美足 
类目id:124870004  类目名称:汽车/用品/配件/改装>汽车影音/车用电子/电器>车用电子/电器>车载路由器 
类目id:124874002  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>花艺包装>花艺纱网/纺织布 
类目id:124874005  类目名称:汽车/用品/配件/改装>汽车改装>全车改装套件 
类目id:124874006  类目名称:休闲娱乐>运动健身>滑雪场 
类目id:124876005  类目名称:网游装备/游戏币/帐号/代练>游戏币>热血传奇（手游）元宝 
类目id:124880002  类目名称:汽车/用品/配件/改装>汽车改装 
类目id:124880003  类目名称:汽车/用品/配件/改装>汽车改装>赛车文化 
类目id:124880005  类目名称:教育培训>智能教育 
类目id:124884001  类目名称:鲜花速递/花卉仿真/绿植园艺>花艺包装/材料>花艺包装>花艺缎带 
类目id:124886001  类目名称:乐器/吉他/钢琴/配件>MIDI乐器/电脑音乐>电子吹管 
类目id:124888002  类目名称:房产/租房/新房/二手房/委托服务>新房>新房优惠礼 
类目id:124890005  类目名称:网络游戏点卡>Z-战网一卡通 
类目id:124912001  类目名称:合约机 
类目id:124916001  类目名称:网络游戏点卡>L-六间房 
类目id:124918001  类目名称:网络游戏点卡>G-怪物猎人OL 
类目id:124920001  类目名称:网络游戏点卡>Q-千军 
类目id:124922001  类目名称:网络游戏点卡>H-画江山 
类目id:124926001  类目名称:网络游戏点卡>Y-英雄道 
类目id:124930001  类目名称:网络游戏点卡>J-集结号 
类目id:124942004  类目名称:网络游戏点卡>W-微软专区 
类目id:124942005  类目名称:手表>日韩腕表 
类目id:124944004  类目名称:本地化生活服务>家政服务>上门保洁 
类目id:124946005  类目名称:医疗及健康服务>健康管理>睡眠管理 
类目id:124946007  类目名称:网络游戏点卡>手游充值>N-南瓜先生大冒险 
类目id:124948002  类目名称:医疗及健康服务>健康管理>体重管理 
类目id:124964003  类目名称:医疗及健康服务>助医服务>境外就医服务 
类目id:124966001  类目名称:网游装备/游戏币/帐号/代练>游戏币>怪物猎人游戏币 
类目id:124966002  类目名称:医疗及健康服务>健康管理>营养膳食 
类目id:124968001  类目名称:度假线路/签证送关/旅游服务>旅游购物/纪念品/旅行用品 
类目id:124972003  类目名称:医疗及健康服务>助医服务>导医咨询服务 
类目id:124976005  类目名称:宠物/宠物食品及用品>马类及其用品>马匹保健护理 
类目id:124976006  类目名称:电脑硬件/显示器/电脑周边>显示器&支架>显示器配件 
类目id:124982002  类目名称:医疗及健康服务>健康管理>健康管理综合服务 
类目id:124984001  类目名称:医疗及健康服务>助医服务 
类目id:124984005  类目名称:网络游戏点卡>G-敢达前线指挥官 
类目id:124986001  类目名称:医疗及健康服务>健康管理 
类目id:124986002  类目名称:手表>欧美腕表 
类目id:124988001  类目名称:医疗及健康服务>健康管理>慢性病管理 
类目id:124990004  类目名称:网络游戏点卡>Z-最终兵器 
类目id:125006003  类目名称:网络游戏点卡>Y-御剑红尘 
类目id:125014002  类目名称:消费卡>购物消费卡 
类目id:125016001  类目名称:网游装备/游戏币/帐号/代练>游戏币>斗战神游戏币 
类目id:125018001  类目名称:网络游戏点卡>N-宁波游戏中心 
类目id:125020005  类目名称:家装主材>灯具灯饰>工矿灯具 
类目id:125020006  类目名称:包装>物流包装>气柱袋 
类目id:125020020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>茶多酚/茶族 
类目id:125020021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>沙棘 
类目id:125020022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>蒲公英 
类目id:125022006  类目名称:全球购官网直购（专用） 
类目id:125022007  类目名称:全球购官网直购（专用）>家居百货>清洁护理 
类目id:125022008  类目名称:全球购官网直购（专用）>食品保健>冲饮类 
类目id:125022009  类目名称:全球购官网直购（专用）>男装女装>女裤 
类目id:125022010  类目名称:全球购官网直购（专用）>运动户外>球类运动 
类目id:125022013  类目名称:尿片/洗护/喂哺/推车床>理发/指甲钳/量温等护理小用品>婴童防护口罩 
类目id:125022035  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>甲壳素 
类目id:125022037  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>紫花苜蓿 
类目id:125024003  类目名称:网游装备/游戏币/帐号/代练>游戏代练>T-天谕代练 
类目id:125024005  类目名称:包装>礼品包装 
类目id:125024006  类目名称:珠宝/钻石/翡翠/黄金>K金首饰>手饰 
类目id:125024007  类目名称:全球购官网直购（专用）>食品保健>营养补充 
类目id:125024008  类目名称:全球购官网直购（专用）>运动户外>越野骑行 
类目id:125024009  类目名称:全球购官网直购（专用）>运动户外>高尔夫 
类目id:125024010  类目名称:全球购官网直购（专用）>运动户外>登山烧烤 
类目id:125024011  类目名称:全球购官网直购（专用）>珠宝手表>其他手表 
类目id:125024039  类目名称:运动服/休闲服装>运动内衣>运动背心 
类目id:125024041  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>智能园艺用品 
类目id:125024042  类目名称:网游装备/游戏币/帐号/代练>游戏帐号>Y-英雄联盟账号 
类目id:125026005  类目名称:网游装备/游戏币/帐号/代练>游戏代练>T-坦克世界代练 
类目id:125026007  类目名称:全球购官网直购（专用）>珠宝手表>手链 
类目id:125026008  类目名称:全球购官网直购（专用）>童装母婴>童装童鞋包 
类目id:125026009  类目名称:全球购官网直购（专用）>童装母婴>孕妇用品 
类目id:125026010  类目名称:手表>智能腕表 
类目id:125026023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>左旋肉碱 
类目id:125026024  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>复合维生素/矿物质 
类目id:125030002  类目名称:个性定制/设计服务/DIY>检验检测 
类目id:125030005  类目名称:全球购官网直购（专用）>珠宝手表>表带表盒 
类目id:125030006  类目名称:全球购官网直购（专用）>珠宝手表>首饰套装及其他 
类目id:125030010  类目名称:尿片/洗护/喂哺/推车床>理发/指甲钳/量温等护理小用品>婴童防护耳罩 
类目id:125030021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>番茄红素 
类目id:125032001  类目名称:个性定制/设计服务/DIY>办公/文具定制>私章/趣味印章刻制服务 
类目id:125032002  类目名称:全球购官网直购（专用）>鞋包饰品 
类目id:125032003  类目名称:全球购官网直购（专用）>鞋包饰品>功能箱包 
类目id:125032004  类目名称:全球购官网直购（专用）>数码家电>相机/摄像机 
类目id:125032005  类目名称:网络游戏点卡>手游充值>Y-映客钻石 
类目id:125032015  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>维生素C 
类目id:125032016  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>酵素 
类目id:125032026  类目名称:到家业务>外卖（饿了么）>小吃零食 
类目id:125034006  类目名称:全球购官网直购（专用）>男装女装>女士上装 
类目id:125034007  类目名称:全球购官网直购（专用）>食品保健>滋补养生 
类目id:125034009  类目名称:全球购官网直购（专用）>数码家电>台式机 
类目id:125034010  类目名称:汽车/用品/配件/改装>汽车零配件>油品 
类目id:125034012  类目名称:网游装备/游戏币/帐号/代练>游戏代练>C-传奇永恒代练 
类目id:125034029  类目名称:度假线路/签证送关/旅游服务>目的地玩乐>旅游翻译/驾照翻译 
类目id:125034035  类目名称:网游装备/游戏币/帐号/代练>游戏代练>M-梦幻西游（手游）代练 
类目id:125036008  类目名称:全球购官网直购（专用）>运动户外>运动其他 
类目id:125036010  类目名称:玩具/童车/益智/积木/模型>儿童智能玩具>编程玩具 
类目id:125036022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>硒 
类目id:125036023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>益生菌 
类目id:125036024  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物>其它碳水化合物 
类目id:125036027  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>葛根 
类目id:125036029  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>南瓜/南瓜籽 
类目id:125036046  类目名称:拍卖会专用>房产>开盘 
类目id:125036050  类目名称:网游装备/游戏币/帐号/代练>游戏代练>T-天天酷跑（手游）代练 
类目id:125038004  类目名称:家装主材>灯具灯饰>功能性灯具 
类目id:125038005  类目名称:全球购官网直购（专用）>食品保健>粮油调味 
类目id:125038006  类目名称:全球购官网直购（专用）>男装女装>男裤 
类目id:125038023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>钙 
类目id:125038024  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>沙丁鱼提取物 
类目id:125038025  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物>生物多糖 
类目id:125038042  类目名称:网游装备/游戏币/帐号/代练>游戏代练>Z-战争雷霆代练 
类目id:125040001  类目名称:网游装备/游戏币/帐号/代练>游戏代练>Y-英雄联盟代练 
类目id:125040006  类目名称:全球购官网直购（专用）>珠宝手表>耳环 
类目id:125040007  类目名称:尿片/洗护/喂哺/推车床>奶瓶/奶瓶相关>智能奶瓶 
类目id:125040020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>精氨酸 
类目id:125040021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>鹿产品提取物 
类目id:125040022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>pycnogenol.碧萝芷 
类目id:125040030  类目名称:网络游戏点卡>T-腾讯体育 
类目id:125040033  类目名称:到家业务>外卖（饿了么）>甜品饮品 
类目id:125042001  类目名称:网游装备/游戏币/帐号/代练>游戏代练>T-天涯明月刀代练 
类目id:125042002  类目名称:网络游戏点卡>S-神之浩劫 
类目id:125042004  类目名称:全球购官网直购（专用）>食品保健>养颜塑身 
类目id:125042005  类目名称:全球购官网直购（专用）>运动户外>运动潮服 
类目id:125042006  类目名称:网游装备/游戏币/帐号/代练>游戏代练>S-守望先锋代练 
类目id:125042037  类目名称:到家业务>外卖（饿了么）>果蔬生鲜 
类目id:125044001  类目名称:网游装备/游戏币/帐号/代练>游戏代练>J-剑灵代练 
类目id:125044002  类目名称:网游装备/游戏币/帐号/代练>游戏代练>C-穿越火线代练 
类目id:125044003  类目名称:网络游戏点卡>D-刀锋铁骑 
类目id:125044005  类目名称:医疗及健康服务>生活美容 
类目id:125044006  类目名称:全球购官网直购（专用）>家居百货 
类目id:125044007  类目名称:全球购官网直购（专用）>家居百货>厨房用具 
类目id:125044008  类目名称:全球购官网直购（专用）>男装女装>男士上装 
类目id:125044010  类目名称:全球购官网直购（专用）>鞋包饰品>女士鞋靴 
类目id:125044011  类目名称:全球购官网直购（专用）>数码家电>厨房电器 
类目id:125044012  类目名称:全球购官网直购（专用）>珠宝手表>电子表 
类目id:125044020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素 
类目id:125044023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>乳清蛋白 
类目id:125044037  类目名称:拍卖会专用>房产>开盘>车位/储藏室 
类目id:125046001  类目名称:网游装备/游戏币/帐号/代练>游戏代练>S-上古世纪代练 
类目id:125046003  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品 
类目id:125046004  类目名称:包装>塑料包装袋 
类目id:125046005  类目名称:包装>塑料包装袋>塑料食品袋 
类目id:125046006  类目名称:网游装备/游戏币/帐号/代练>游戏代练>J-疾风之刃代练 
类目id:125046007  类目名称:全球购官网直购（专用）>食品保健>保健护理 
类目id:125046008  类目名称:全球购官网直购（专用）>数码家电>手机 
类目id:125046009  类目名称:全球购官网直购（专用）>数码家电>影音娱乐 
类目id:125046010  类目名称:全球购官网直购（专用）>珠宝手表>戒指 
类目id:125046011  类目名称:全球购官网直购（专用）>书籍其它>乐器文具 
类目id:125046028  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>钙铁锌 
类目id:125046029  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>叶酸 
类目id:125046030  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>肽类 
类目id:125048001  类目名称:网游装备/游戏币/帐号/代练>游戏代练>G-怪物猎人代练 
类目id:125048003  类目名称:住宅家具>床垫类>卷包/折叠床垫 
类目id:125048005  类目名称:全球购官网直购（专用）>美容护肤 
类目id:125048009  类目名称:网络游戏点卡>Y-御龙在天经典版 
类目id:125048010  类目名称:玩具/童车/益智/积木/模型>儿童智能玩具 
类目id:125048019  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物 
类目id:125048021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>维生素AD 
类目id:125048023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>维生素D 
类目id:125048026  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>圣约翰草提取物 
类目id:125048038  类目名称:基础建材>新型装饰材料>护墙角 
类目id:125050001  类目名称:网游装备/游戏币/帐号/代练>游戏代练>Z-战舰世界代练 
类目id:125050006  类目名称:全球购官网直购（专用）>家居百货>餐饮用具 
类目id:125050007  类目名称:全球购官网直购（专用）>男装女装>裙装 
类目id:125050008  类目名称:全球购官网直购（专用）>运动户外>滑冰滑雪 
类目id:125050009  类目名称:全球购官网直购（专用）>数码家电>笔记本及平板电脑 
类目id:125050010  类目名称:全球购官网直购（专用）>数码家电>便携设备 
类目id:125050011  类目名称:全球购官网直购（专用）>童装母婴>玩具出行用品 
类目id:125050012  类目名称:玩具/童车/益智/积木/模型>儿童智能玩具>app互动玩具 
类目id:125050021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>钙镁 
类目id:125050022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>鱼蛋白 
类目id:125050034  类目名称:到家业务>外卖（饿了么） 
类目id:125052003  类目名称:全屋定制>门>门附件>门标配五金件 
类目id:125052006  类目名称:全球购官网直购（专用）>珠宝手表>对表及其他 
类目id:125052007  类目名称:网游装备/游戏币/帐号/代练>游戏代练>N-逆战代练 
类目id:125052024  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>其它动物提取物 
类目id:125052025  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>月见草油 
类目id:125052041  类目名称:节庆用品/礼品>文化创意用品>文化创意包/袋 
类目id:125054001  类目名称:网络游戏点卡>W-王牌对决 
类目id:125054002  类目名称:珠宝/钻石/翡翠/黄金>K金首饰>胸饰 
类目id:125054003  类目名称:全球购官网直购（专用）>美容护肤>时尚彩妆 
类目id:125054004  类目名称:全球购官网直购（专用）>食品保健>休闲零食 
类目id:125054019  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>红曲 
类目id:125054020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>其它蛋白 
类目id:125054036  类目名称:到家业务>外卖（饿了么）>正餐类 
类目id:125056001  类目名称:网络游戏点卡>J-九阳神功 
类目id:125056004  类目名称:全屋定制>门>门附件>门辅料 
类目id:125056005  类目名称:全球购官网直购（专用）>男装女装 
类目id:125056015  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物 
类目id:125056019  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>角鲨烯 
类目id:125056023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>叶黄素 
类目id:125058001  类目名称:度假线路/签证送关/旅游服务>目的地玩乐 
类目id:125058006  类目名称:家装主材>灯具灯饰>格栅/面板灯 
类目id:125058008  类目名称:网络游戏点卡>手游充值>C-苍穹变 
类目id:125058009  类目名称:珠宝/钻石/翡翠/黄金>K金首饰 
类目id:125058031  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>谷氨酰胺 
类目id:125058044  类目名称:拍卖会专用>房产>开盘>新房 
类目id:125060002  类目名称:度假线路/签证送关/旅游服务>目的地玩乐>同城活动(测试勿发) 
类目id:125060017  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>氨基葡萄糖 
类目id:125060018  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>胶原蛋白 
类目id:125060019  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>羊胎盘提取物 
类目id:125060020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>林蛙油提取物 
类目id:125060021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>紫锥菊提取物 
类目id:125060032  类目名称:电子词典/电纸书/文化用品>纸张本册>拍纸本 
类目id:125060035  类目名称:网游装备/游戏币/帐号/代练>游戏代练>B-部落冲突（手游）代练 
类目id:125072005  类目名称:全球购官网直购（专用）>家居百货>家用杂物 
类目id:125072007  类目名称:全球购官网直购（专用）>童装母婴>辅食奶粉 
类目id:125072017  类目名称:网络游戏点卡>X-新浪邮箱 
类目id:125072025  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>氨基酸 
类目id:125072026  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>其它植物提取物 
类目id:125074006  类目名称:电影/演出/体育赛事>电子竞技赛事 
类目id:125074007  类目名称:珠宝/钻石/翡翠/黄金>K金首饰>其他 
类目id:125074008  类目名称:珠宝/钻石/翡翠/黄金>K金首饰>颈饰 
类目id:125074010  类目名称:全球购官网直购（专用）>珠宝手表>运动手表 
类目id:125074011  类目名称:房产/租房/新房/二手房/委托服务>新房>特价房 
类目id:125074022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>膳食纤维/碳水化合物 
类目id:125074026  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>银杏/人参银杏 
类目id:125074036  类目名称:网络游戏点卡>T-太极 
类目id:125074041  类目名称:运动服/休闲服装>运动内衣>运动文胸 
类目id:125076003  类目名称:全球购官网直购（专用）>家居百货>床上用品 
类目id:125076005  类目名称:网游装备/游戏币/帐号/代练>游戏代练>F-风暴英雄代练 
类目id:125076012  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白 
类目id:125076013  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>牛初乳 
类目id:125076017  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>芦荟 
类目id:125076018  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>大蒜提取物 
类目id:125076027  类目名称:洗护清洁剂/卫生巾/纸/香薰>洗发沐浴/个人清洁>口腔护理>口腔护理套装 
类目id:125078002  类目名称:电子词典/电纸书/文化用品>画具/画材/书法用品>文房墨汁 
类目id:125078004  类目名称:全球购官网直购（专用）>美容护肤>美发造型 
类目id:125078006  类目名称:全球购官网直购（专用）>鞋包饰品>女士箱包 
类目id:125078007  类目名称:全球购官网直购（专用）>鞋包饰品>男士鞋靴 
类目id:125078022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>虾青素 
类目id:125078023  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>其它海洋提取物 
类目id:125078025  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>卵磷脂 
类目id:125078026  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>蓟类 
类目id:125080001  类目名称:整车(经销商)>国产/合资/进口>新车定金（非平行进口车） 
类目id:125080002  类目名称:家装主材>灯具灯饰>感应灯 
类目id:125080003  类目名称:珠宝/钻石/翡翠/黄金>K金首饰>耳饰 
类目id:125080004  类目名称:珠宝/钻石/翡翠/黄金>K金首饰>投资贵金属 
类目id:125080006  类目名称:全球购官网直购（专用）>鞋包饰品>男士箱包 
类目id:125080007  类目名称:传统滋补营养品>参茸贵细 
类目id:125080009  类目名称:住宅家具>床类>衣柜床 
类目id:125080026  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>维生素K 
类目id:125080031  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>其他膳食营养补充剂 
类目id:125080047  类目名称:网络游戏点卡>手游充值>B-捕鱼达人千炮版 
类目id:125080048  类目名称:拍卖会专用>房产 
类目id:125082002  类目名称:网络游戏点卡>J-剑侠世界绿色版 
类目id:125082003  类目名称:全球购官网直购（专用）>书籍其它 
类目id:125082004  类目名称:全球购官网直购（专用）>美容护肤>香氛美体 
类目id:125082033  类目名称:智能设备>智能出行 
类目id:125082035  类目名称:教育培训>学历/职业资格考试>研究生辅导 
类目id:125084003  类目名称:家装主材>灯具灯饰>道路灯具 
类目id:125084004  类目名称:全球购官网直购（专用）>数码家电 
类目id:125084005  类目名称:全球购官网直购（专用）>男装女装>男士服饰配件 
类目id:125084006  类目名称:全球购官网直购（专用）>运动户外>健身锻炼 
类目id:125084007  类目名称:全球购官网直购（专用）>运动户外>钓鱼潜水 
类目id:125084008  类目名称:全球购官网直购（专用）>数码家电>数码/影音配件 
类目id:125084029  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>猴头菇提取物 
类目id:125084030  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>动物精华/提取物>袋鼠精 
类目id:125084043  类目名称:到家业务>外卖（饿了么）>鲜花蛋糕 
类目id:125084045  类目名称:网游装备/游戏币/帐号/代练>游戏代练>Q-球球大作战（手游）代练 
类目id:125088001  类目名称:电脑硬件/显示器/电脑周边>显示器&支架 
类目id:125088003  类目名称:全球购官网直购（专用）>男装女装>女士服饰配件 
类目id:125088004  类目名称:全球购官网直购（专用）>童装母婴>喂养洗护其他 
类目id:125088017  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品 
类目id:125088020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>螺旋藻/藻类提取物 
类目id:125088021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>大豆分离蛋白 
类目id:125088024  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>参类提取物 
类目id:125088030  类目名称:运动服/休闲服装>运动内衣>运动内裤 
类目id:125090001  类目名称:全屋定制>门>门附件>门配饰 
类目id:125092002  类目名称:全球购官网直购（专用）>男装女装>太阳镜 
类目id:125092003  类目名称:全球购官网直购（专用）>珠宝手表>时装表 
类目id:125092021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>蛇麻草 
类目id:125092022  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>葡萄籽提取物 
类目id:125094003  类目名称:全球购官网直购（专用）>珠宝手表>项链 
类目id:125094014  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>维生素/矿物质/钙铁锌硒>B族维生素 
类目id:125094016  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>海狗/海豹油 
类目id:125094017  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>海洋生物类>鲨鱼软骨素 
类目id:125094018  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>蛋白质/氨基酸/胶原蛋白>骨胶原蛋白 
类目id:125094020  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>植物精华/提取物>玛咖提取物 
类目id:125094021  类目名称:保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>膳食补充剂型饮料 
类目id:125094026  类目名称:景点门票/实景演出/主题乐园>国内周边游>国内当地玩乐 
